sapling_ID;plot_ID;sapling_species;exclosure;herbivory_level;height_end2015;height_end2016.y;fragment_ID;edge_distance;relbasalarea_fsyl;relbasalarea_qrob;relbasalarea_qrub
48B_Bz;48;fsyl;yes;5.4;100;107;17;21.59448214;0;1;0
48C_Ab;48;qrub;no;6.7;139;144;17;21.59448214;0;1;0
48C_Az;48;qrub;no;18.3;87;98;17;21.59448214;0;1;0
48C_Ba;48;fsyl;no;5.6;112;110;17;21.59448214;0;1;0
48C_Bz;48;fsyl;no;8.1;114;113;17;21.59448214;0;1;0
48N_Ab;48;qrub;no;17.4;118;117;17;21.59448214;0;1;0
48N_Ba;48;fsyl;no;4.3;109;110;17;21.59448214;0;1;0
49B_Ab;49;qrub;no;27.5;123;115;18;69.80459033;0;0.455151888;0.52601601
49B_Az;49;qrub;no;12.4;148;128;18;69.80459033;0;0.455151888;0.52601601
49B_Ba;49;fsyl;no;17;119;110;18;69.80459033;0;0.455151888;0.52601601
49B_Bz;49;fsyl;no;10.8;113;114;18;69.80459033;0;0.455151888;0.52601601
49C_Ba;49;fsyl;no;15.2;123;124;18;69.80459033;0;0.455151888;0.52601601
49C_Bz;49;fsyl;no;68.88888889;NA;NA;18;69.80459033;0;0.455151888;0.52601601
49N_Ab;49;qrub;yes;45;124;135;18;69.80459033;0;0.455151888;0.52601601
49N_Az;49;qrub;yes;52.5;80;85;18;69.80459033;0;0.455151888;0.52601601
49N_Ba;49;fsyl;yes;15.7;134;132;18;69.80459033;0;0.455151888;0.52601601
49N_Bz;49;fsyl;yes;22.8;132;136;18;69.80459033;0;0.455151888;0.52601601
49N_Za;49;qrob;yes;13.2;104;102;18;69.80459033;0;0.455151888;0.52601601
50B_Ab;50;qrub;yes;69.5;125;130;18;45.69380683;0;0.425556453;0.530798063
50B_Az;50;qrub;yes;60.5;NA;NA;18;45.69380683;0;0.425556453;0.530798063
50B_Ba;50;fsyl;yes;26.2;NA;NA;18;45.69380683;0;0.425556453;0.530798063
50B_Bz;50;fsyl;yes;25.3;77;70;18;45.69380683;0;0.425556453;0.530798063
50C_Ab;50;qrub;no;30;106;120;18;45.69380683;0;0.425556453;0.530798063
50C_Az;50;qrub;no;32;NA;NA;18;45.69380683;0;0.425556453;0.530798063
50C_Ba;50;fsyl;no;2.8;125;115;18;45.69380683;0;0.425556453;0.530798063
50C_Bz;50;fsyl;no;10.5;114;111;18;45.69380683;0;0.425556453;0.530798063
50N_Ab;50;qrub;no;35.5;130;133;18;45.69380683;0;0.425556453;0.530798063
50N_Ba;50;fsyl;no;12.4;104;110;18;45.69380683;0;0.425556453;0.530798063
50N_Bz;50;fsyl;no;11.7;103;105;18;45.69380683;0;0.425556453;0.530798063
51B_Ab;51;qrub;no;27;150;175;18;85.58723681;0;0.384767903;0.583883531
51B_Az;51;qrub;no;16.2;100;125;18;85.58723681;0;0.384767903;0.583883531
51B_Ba;51;fsyl;no;12.1;88;65;18;85.58723681;0;0.384767903;0.583883531
51B_Bz;51;fsyl;no;7.2;107;103;18;85.58723681;0;0.384767903;0.583883531
51C_Ab;51;qrub;yes;40.5;98;105;18;85.58723681;0;0.384767903;0.583883531
51C_Az;51;qrub;yes;15;122;140;18;85.58723681;0;0.384767903;0.583883531
51C_Ba;51;fsyl;yes;17.2;105;114;18;85.58723681;0;0.384767903;0.583883531
51C_Bz;51;fsyl;yes;23.9;113;111;18;85.58723681;0;0.384767903;0.583883531
51C_Za;51;qrob;yes;38;NA;NA;18;85.58723681;0;0.384767903;0.583883531
51N_Ab;51;qrub;no;58;NA;NA;18;85.58723681;0;0.384767903;0.583883531
51N_Az;51;qrub;no;55.5;NA;NA;18;85.58723681;0;0.384767903;0.583883531
51N_Ba;51;fsyl;no;2;120;115;18;85.58723681;0;0.384767903;0.583883531
51N_Bz;51;fsyl;no;5.7;90;90;18;85.58723681;0;0.384767903;0.583883531
52B_Ab;52;qrub;yes;18;160;168;19;181.2306158;0;0;0.921040477
52B_Az;52;qrub;yes;42;151;160;19;181.2306158;0;0;0.921040477
52B_Za;52;qrob;yes;27.5;120;121;19;181.2306158;0;0;0.921040477
52B_Zb;52;qrob;yes;16.1;121;123;19;181.2306158;0;0;0.921040477
52C_Ab;52;qrub;no;14.1;110;130;19;181.2306158;0;0;0.921040477
52C_Az;52;qrub;no;23.5;142;147;19;181.2306158;0;0;0.921040477
52C_Bz;52;fsyl;no;21.8;110;122;19;181.2306158;0;0;0.921040477
52C_Za;52;qrob;no;19.9;110;118;19;181.2306158;0;0;0.921040477
52C_Zb;52;qrob;no;30;114;126;19;181.2306158;0;0;0.921040477
52N_Ab;52;qrub;no;52;123;125;19;181.2306158;0;0;0.921040477
52N_Az;52;qrub;no;5.1;106;107;19;181.2306158;0;0;0.921040477
53B_Ab;53;qrub;no;30.5;80;90;19;199.369632;0;0.596435235;0.372284224
53B_Az;53;qrub;no;42;129;134;19;199.369632;0;0.596435235;0.372284224
53C_Ab;53;qrub;yes;18.5;120;120;19;199.369632;0;0.596435235;0.372284224
53C_Az;53;qrub;yes;28;106;106;19;199.369632;0;0.596435235;0.372284224
53C_Ba;53;fsyl;yes;15.3;94;82;19;199.369632;0;0.596435235;0.372284224
53C_Bz;53;fsyl;yes;13.1;111;115;19;199.369632;0;0.596435235;0.372284224
53C_Zb;53;qrob;yes;30.5;119;122;19;199.369632;0;0.596435235;0.372284224
53N_Ab;53;qrub;no;30.5;127;124;19;199.369632;0;0.596435235;0.372284224
53N_Az;53;qrub;no;24;119;72;19;199.369632;0;0.596435235;0.372284224
53N_Ba;53;fsyl;no;5.7;119;123;19;199.369632;0;0.596435235;0.372284224
